Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Ball Lightning,1,0.0005827505827505828,0.9157303370786517,407.5,card
Loop,1,0.0005827505827505828,0.9157303370786517,407.5,card
BatchProcessingSystem,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Cracked Core,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Inserter,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Thunder Strike,1,0.0005827505827505828,0.9157303370786517,407.5,card
Nyarlathotep,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Reprogram,1,0.0005827505827505828,0.9157303370786517,407.5,card
Gash,1,0.0005827505827505828,0.9157303370786517,407.5,card
Dualcast,1,0.0005827505827505828,0.9157303370786517,407.5,card
Riddle With Holes,1,0.0005827505827505828,0.9157303370786517,407.5,card
Rip and Tear,1,0.0005827505827505828,0.9157303370786517,407.5,card
Glacier,1,0.0005827505827505828,0.9157303370786517,407.5,card
Scrape,1,0.0005827505827505828,0.9157303370786517,407.5,card
Midas Touch,1,0.0005827505827505828,0.9157303370786517,407.5,card
Sucker Punch,1,0.0005827505827505828,0.9157303370786517,407.5,card
HeartOfDaVinci,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Beam Cell,1,0.0005827505827505828,0.9157303370786517,407.5,card
Biased Cognition,1,0.0005827505827505828,0.9157303370786517,407.5,card
Melter,1,0.0005827505827505828,0.9157303370786517,407.5,card
All Out Attack,1,0.0005827505827505828,0.9157303370786517,407.5,card
Fusion,1,0.0005827505827505828,0.9157303370786517,407.5,card
Compile Driver,1,0.0005827505827505828,0.9157303370786517,407.5,card
Reflex,1,0.0005827505827505828,0.9157303370786517,407.5,card
Unload,1,0.0005827505827505828,0.9157303370786517,407.5,card
Ring of the Snake,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Runic Capacitor,1,0.0005827505827505828,0.9157303370786517,407.5,relic
